station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
KNRN,39.8497,-99.8915,320,4
KNOW,48.1394,-123.403,70,5
KN79,40.8371,-76.546,0,0
KN38,41.7287,-77.3958,190,4
KN03,42.5929,-76.2174,40,3
KMZZ,40.4863,-85.6859,210,6
KMZJ,32.5147,-111.335,0,0
KMZH,46.4163,-92.8049,0,0
KMYZ,39.8544,-96.6279,280,5
KMYP,38.4972,-106.32,290,20
KMYJ,39.1561,-91.8129,160,7
KMXO,42.2203,-91.1604,0,0
KMWO,39.5324,-84.3973,230,8
KMWM,43.91,-95.1073,360,3
KMVH,46.838,-108.936,270,7
KMVE,44.9675,-95.7116,0,0
KMTV,36.6272,-80.0134,220,5
KMTK,28.6967,-89.3958,240,6
KMRT,40.2237,-83.3475,240,4
KMRJ,42.8875,-90.2315,120,4
KMQW,32.0942,-82.882,240,4
KMQJ,39.8402,-85.894,220,7
KMQB,40.5176,-90.6481,220,6
KMPZ,40.9453,-91.5122,190,4
KMPR,38.3491,-97.6883,170,11
KMOX,45.5677,-95.9659,0,0
KMOR,36.1746,-83.3853,270,8
KMOP,43.6229,-84.743,210,4
KMNZ,31.6697,-98.1462,180,13
KMNI,33.5882,-80.2059,180,4
KMNH,39.2232,-104.642,210,5
